region	chr	start	end	arm	cyto	overlappedGeneNumDensity	genename
chr12:80580001-80590000	chr12	80580001	80590000	12q	qC3	2	4933406B15Rik,Galnt16
chr12:80820001-80830000	chr12	80820001	80830000	12q	qC3	1	Susd6
chr12:83150001-83160000	chr12	83150001	83160000	12q	qD1	1	Rgs6
chr12:94400001-94410000	chr12	94400001	94410000	12q	qD3	1	
chr12:95690001-95700000	chr12	95690001	95700000	12q	qE	1	Flrt2
chr12:97080001-97090000	chr12	97080001	97090000	12q	qE	1	
chr12:111840001-111850000	chr12	111840001	111850000	12q	qF1	1	Ppp1r13b
chr12:112510001-112520000	chr12	112510001	112520000	12q	qF1	1	Tmem179
chr12:117750001-117760000	chr12	117750001	117760000	12q	qF2	1	Rapgef5
chr12:119360001-119370000	chr12	119360001	119370000	12q	qF2	1	Macc1
chr13:3860001-3870000	chr13	3860001	3870000	13p	qA1	1	
chr13:4720001-4730000	chr13	4720001	4730000	13p	qA1	1	Gm40658
chr13:19880001-19890000	chr13	19880001	19890000	13q	qA2	1	
chr13:24210001-24220000	chr13	24210001	24220000	13q	qA3.1	1	Carmil1
chr13:24690001-24700000	chr13	24690001	24700000	13q	qA3.1	1	Ripor2
chr13:31620001-31630000	chr13	31620001	31630000	13q	qA3.2	4	Gm11378,1700018A04Rik,Foxf2,NA
chr13:62220001-62230000	chr13	62220001	62230000	13q	qB3	1	Zfp808
chr13:76440001-76450000	chr13	76440001	76450000	13q	qC1	1	Mctp1
chr13:77620001-77630000	chr13	77620001	77630000	13q	qC1	1	
chr13:94480001-94490000	chr13	94480001	94490000	13q	qC3	1	Ap3b1
chr13:98940001-98950000	chr13	98940001	98950000	13q	qD1	1	Gm35215
chr13:99540001-99550000	chr13	99540001	99550000	13q	qD1	1	
chr13:101400001-101410000	chr13	101400001	101410000	13q	qD1	1	4932411K12Rik
chr13:103490001-103500000	chr13	103490001	103500000	13q	qD1	1	
chr13:106880001-106890000	chr13	106880001	106890000	13q	qD2.1	1	Ipo11
chr13:109030001-109040000	chr13	109030001	109040000	13q	qD2.1	1	Pde4d
chr13:109040001-109050000	chr13	109040001	109050000	13q	qD2.1	1	Pde4d
chr13:109600001-109610000	chr13	109600001	109610000	13q	qD2.1	1	Pde4d
chr13:110000001-110010000	chr13	110000001	110010000	13q	qD2.1	1	
chr13:110510001-110520000	chr13	110510001	110520000	13q	qD2.1	1	
chr13:112720001-112730000	chr13	112720001	112730000	13q	qD2.2	1	Slc38a9
chr13:115570001-115580000	chr13	115570001	115580000	NA	qD2.2	1	
chr14:9180001-9190000	chr14	9180001	9190000	14p	qA1	1	
chr14:13080001-13090000	chr14	13080001	13090000	14p	qA1	1	
chr14:13110001-13120000	chr14	13110001	13120000	14p	qA1	1	
chr14:13780001-13790000	chr14	13780001	13790000	14p	qA1	1	
chr14:15780001-15790000	chr14	15780001	15790000	14p	qA2	2	Gm31804,Gm47782
chr14:16430001-16440000	chr14	16430001	16440000	centromere	qA2	2	Rarb,Top2b
chr14:24560001-24570000	chr14	24560001	24570000	14q	qA3	1	
chr14:28020001-28030000	chr14	28020001	28030000	14q	qA3	1	Erc2
chr14:29590001-29600000	chr14	29590001	29600000	14q	qA3	2	Cacna2d3,Gm48003
chr14:51810001-51820000	chr14	51810001	51820000	14q	qC1	1	AY358078
chr14:59180001-59190000	chr14	59180001	59190000	14q	qC3	1	
chr14:61390001-61400000	chr14	61390001	61400000	14q	qD1	1	Kpna3
chr14:68770001-68780000	chr14	68770001	68780000	14q	qD1	1	
chr14:75990001-76000000	chr14	75990001	76000000	14q	qD3	1	Gtf2f2
chr14:86980001-86990000	chr14	86980001	86990000	14q	qE1	2	Diaph3,NA
chr14:89800001-89810000	chr14	89800001	89810000	14q	qE2.1	1	
chr14:98800001-98810000	chr14	98800001	98810000	14q	qE2.1	1	
chr14:102910001-102920000	chr14	102910001	102920000	14q	qE2.3	1	
chr14:114990001-115000000	chr14	114990001	115000000	NA	qE4	1	
chr14:115000001-115010000	chr14	115000001	115010000	NA	qE4	1	
chr15:3160001-3170000	chr15	3160001	3170000	15p	qA1	1	Gm49231
chr15:8620001-8630000	chr15	8620001	8630000	15p	qA1	1	
chr15:28070001-28080000	chr15	28070001	28080000	15q	qB1	1	Gm31458
chr15:32470001-32480000	chr15	32470001	32480000	15q	qB3.1	1	Sema5a
chr15:34230001-34240000	chr15	34230001	34240000	15q	qB3.1	1	Laptm4b
chr15:38450001-38460000	chr15	38450001	38460000	15q	qB3.1	1	G930009F23Rik
chr15:47760001-47770000	chr15	47760001	47770000	15q	qB3.3	1	Csmd3
chr15:51190001-51200000	chr15	51190001	51200000	15q	qC	1	
chr15:51730001-51740000	chr15	51730001	51740000	15q	qC	1	
chr15:53320001-53330000	chr15	53320001	53330000	15q	qC	1	Ext1
chr15:53530001-53540000	chr15	53530001	53540000	15q	qC	1	Samd12
chr15:54520001-54530000	chr15	54520001	54530000	15q	qD1	1	
chr15:57200001-57210000	chr15	57200001	57210000	15q	qD1	1	
chr15:57710001-57720000	chr15	57710001	57720000	15q	qD1	1	Zhx2
chr15:65220001-65230000	chr15	65220001	65230000	15q	qD1	1	
chr15:69660001-69670000	chr15	69660001	69670000	15q	qD3	1	
chr15:70030001-70040000	chr15	70030001	70040000	15q	qD3	1	Gm19782
chr15:70560001-70570000	chr15	70560001	70570000	15q	qD3	1	
chr15:70620001-70630000	chr15	70620001	70630000	15q	qD3	1	
chr15:71270001-71280000	chr15	71270001	71280000	15q	qD3	1	
chr15:76260001-76270000	chr15	76260001	76270000	15q	qD3	3	Mirt2,Spatc1,NA
chr15:78780001-78790000	chr15	78780001	78790000	15q	qE1	1	Card10
chr15:83020001-83030000	chr15	83020001	83030000	15q	qE1	1	Nfam1
chr15:84720001-84730000	chr15	84720001	84730000	15q	qE2	3	Arhgap8,Gm20556
chr15:90310001-90320000	chr15	90310001	90320000	15q	qE3	1	
chr15:92040001-92050000	chr15	92040001	92050000	15q	qE3	1	
chr16:3970001-3980000	chr16	3970001	3980000	16p	qA1	2	Slx4,Nlrc3
chr16:4000001-4010000	chr16	4000001	4010000	16p	qA1	1	Slx4
chr16:16820001-16830000	chr16	16820001	16830000	16p	qA3	2	Spag6l,Rpl31-ps12
chr16:17430001-17440000	chr16	17430001	17440000	16p	qA3	1	Snap29
chr16:20310001-20320000	chr16	20310001	20320000	16p	qA3	1	Cyp2ab1
chr16:36090001-36100000	chr16	36090001	36100000	16p	qB3	1	Mix23
chr16:38270001-38280000	chr16	38270001	38280000	16q	qB3	1	Nr1i2
chr16:43300001-43310000	chr16	43300001	43310000	16q	qB4	2	Zbtb20,Gm37946
chr16:43470001-43480000	chr16	43470001	43480000	16q	qB4	1	Zbtb20
chr16:45260001-45270000	chr16	45260001	45270000	16q	qB5	1	
chr16:50250001-50260000	chr16	50250001	50260000	16q	qB5	1	Bbx
chr16:51330001-51340000	chr16	51330001	51340000	16q	qB5	1	
chr16:52990001-53000000	chr16	52990001	53000000	16q	qB5	1	
chr16:54720001-54730000	chr16	54720001	54730000	16q	qC1.1	1	
chr16:58440001-58450000	chr16	58440001	58450000	16q	qC1.2	1	Dcbld2
chr16:60090001-60100000	chr16	60090001	60100000	16q	qC1.3	1	Epha6
chr16:66720001-66730000	chr16	66720001	66730000	16q	qC1.3	1	Cadm2
chr16:70250001-70260000	chr16	70250001	70260000	16q	qC2	1	
chr16:74080001-74090000	chr16	74080001	74090000	16q	qC3.1	1	Robo2
chr16:75910001-75920000	chr16	75910001	75920000	16q	qC3.1	1	Samsn1
chr16:76710001-76720000	chr16	76710001	76720000	16q	qC3.1	1	Gm45029
chr16:78260001-78270000	chr16	78260001	78270000	16q	qC3.1	1	E330011O21Rik
chr16:81210001-81220000	chr16	81210001	81220000	16q	qC3.3	1	Ncam2
chr16:97160001-97170000	chr16	97160001	97170000	NA	qC4	1	Dscam
chr17:7610001-7620000	chr17	7610001	7620000	17p	qA1	1	
chr17:20150001-20160000	chr17	20150001	20160000	17p	qA3.2	1	
chr17:23190001-23200000	chr17	23190001	23200000	centromere	qA3.3	1	Zfp40
chr17:27120001-27130000	chr17	27120001	27130000	17q	qA3.3	2	Uqcc2,Itpr3
chr17:35620001-35630000	chr17	35620001	35630000	17q	qB1	2	Muc21,Sfta2
chr17:44280001-44290000	chr17	44280001	44290000	17q	qB3	1	Clic5
chr17:45190001-45200000	chr17	45190001	45200000	17q	qB3	1	
chr17:52570001-52580000	chr17	52570001	52580000	17q	qC	1	
chr17:52770001-52780000	chr17	52770001	52780000	17q	qC	1	Kcnh8
chr17:54000001-54010000	chr17	54000001	54010000	17q	qC	1	Gm5684
chr17:58190001-58200000	chr17	58190001	58200000	17q	qD	1	Cntnap5c
chr17:60980001-60990000	chr17	60980001	60990000	17q	qE1.1	1	
chr17:67020001-67030000	chr17	67020001	67030000	17q	qE1.1	2	Ptprm,Mir5709
chr17:69440001-69450000	chr17	69440001	69450000	17q	qE1.3	1	Akain1
chr17:80980001-80990000	chr17	80980001	80990000	17q	qE3	1	Tmem178
chr17:81880001-81890000	chr17	81880001	81890000	17q	qE3	1	
chr17:83670001-83680000	chr17	83670001	83680000	NA	qE4	1	
chr17:84810001-84820000	chr17	84810001	84820000	NA	qE4	1	
chr17:86120001-86130000	chr17	86120001	86130000	NA	qE4	1	Srbd1
chr17:86280001-86290000	chr17	86280001	86290000	NA	qE4	2	Prkce,2010106C02Rik
chr17:89780001-89790000	chr17	89780001	89790000	NA	qE5	1	
chr17:90810001-90820000	chr17	90810001	90820000	NA	qE5	1	Nrxn1
chr17:91830001-91840000	chr17	91830001	91840000	NA	qE5	1	Gm41654
chr17:92270001-92280000	chr17	92270001	92280000	NA	qE5	1	
chr17:92600001-92610000	chr17	92600001	92610000	NA	qE5	1	Gm49995
chr18:8660001-8670000	chr18	8660001	8670000	18p	qA1	1	
chr18:10590001-10600000	chr18	10590001	10600000	18p	qA1	1	Esco1
chr18:17630001-17640000	chr18	17630001	17640000	centromere	qA1	1	
chr18:18410001-18420000	chr18	18410001	18420000	centromere	qA1	1	
chr18:23450001-23460000	chr18	23450001	23460000	18q	qA2	1	Dtna
chr18:28770001-28780000	chr18	28770001	28780000	18q	qA2	1	
chr18:30200001-30210000	chr18	30200001	30210000	18q	qB1	1	
chr18:34030001-34040000	chr18	34030001	34040000	18q	qB1	1	
chr18:35390001-35400000	chr18	35390001	35400000	18q	qB1	1	Sil1
chr18:40170001-40180000	chr18	40170001	40180000	18q	qB3	1	
chr18:44610001-44620000	chr18	44610001	44620000	18q	qB3	1	Mcc
chr18:46490001-46500000	chr18	46490001	46500000	18q	qC	1	Gm3720
chr18:47760001-47770000	chr18	47760001	47770000	18q	qC	1	Gm4146
chr18:49790001-49800000	chr18	49790001	49800000	18q	qD1	1	
chr18:57310001-57320000	chr18	57310001	57320000	18q	qD3	2	Gm50200,Gm50201
chr18:58000001-58010000	chr18	58000001	58010000	18q	qD3	1	Fbn2
chr18:59970001-59980000	chr18	59970001	59980000	18q	qD3	1	
chr18:61300001-61310000	chr18	61300001	61310000	18q	qE1	1	Ppargc1b
chr18:66040001-66050000	chr18	66040001	66050000	18q	qE1	1	Ccbe1
chr18:68520001-68530000	chr18	68520001	68530000	18q	qE2	1	
chr18:69210001-69220000	chr18	69210001	69220000	18q	qE2	1	Gm4402
chr18:70990001-71000000	chr18	70990001	71000000	18q	qE2	1	
chr18:71080001-71090000	chr18	71080001	71090000	18q	qE2	1	
chr18:76000001-76010000	chr18	76000001	76010000	18q	qE3	1	Zbtb7c
chr18:76080001-76090000	chr18	76080001	76090000	18q	qE3	1	Zbtb7c
chr18:78850001-78860000	chr18	78850001	78860000	18q	qE3	1	Setbp1
chr18:80640001-80650000	chr18	80640001	80650000	NA	qE3	1	Nfatc1
chr18:85570001-85580000	chr18	85570001	85580000	NA	qE4	1	
chr18:86890001-86900000	chr18	86890001	86900000	NA	qE4	1	
chr19:19170001-19180000	chr19	19170001	19180000	19p	qB	1	
chr19:34070001-34080000	chr19	34070001	34080000	19q	qC1	1	Lipn
chr19:53270001-53280000	chr19	53270001	53280000	19q	qD2	1	
