region	chr	start	end	arm	cyto	CFS	ERFS	overlappedGeneNumDensity	genename	transcriptClass	geneType	largeGene
chr4:152030001-152630000	chr4	152030001	152630000	4q	q31.3		FBXW7	8	FBXW7,FBXW7-AS1,LINC02273,RN7SL446P,MIR4453,TMEM154,MIR3140,MIR4453HG	coding,nonCoding	protein_coding,lncRNA,misc_RNA,miRNA	N
chr4:188180001-188740000	chr4	188180001	188740000	4q	q35.2			2	RNU7-192P,LINC01060	nonCoding	snRNA,lncRNA	N
chr4:35940001-36320000	chr4	35940001	36320000	4p	p14		ARAP2	2	DTHD1,ARAP2	coding,nonCoding	protein_coding	N
chr4:38490001-38650000	chr4	38490001	38650000	4p	p14			4	LINC01258,KLF3-AS1,LINC01259,LINC02278	nonCoding	lncRNA	N
chr4:38770001-39430000	chr4	38770001	39430000	4p	p14		TLR1	13	TLR10,FAM114A1,MIR574,TLR1,TLR6,KLHL5,WDR19,RFC1,RNU6-32P,RNU6-887P,KLB,MIR5591,TMEM156	coding,nonCoding	protein_coding,miRNA,snRNA	N
chr4:56370001-56670000	chr4	56370001	56670000	4q	q12	FRA4B		7	AASDH,PAICS,SRP72,ARL9,PPAT,HOPX,THEGL	coding,nonCoding	protein_coding	N
chr4:67530001-67730000	chr4	67530001	67730000	4q	q13.2			4	STAP1,UBA6,UBA6-DT,CENPC	coding,nonCoding	protein_coding,lncRNA	N
chr4:70610001-71000000	chr4	70610001	71000000	4q	q13.3			10	UTP3,RNU6-520P,ENAM,JCHAIN,GRSF1,RNU6-891P,RNU6-784P,RUFY3,DCK,MOB1B	coding,nonCoding	protein_coding,snRNA	N
chr4:77680001-77790000	chr4	77680001	77790000	4q	q21.1		CNOT6L	1	CNOT6L	coding,nonCoding	protein_coding	N
chr4:80030001-80460000	chr4	80030001	80460000	4q	q21.21			5	ANTXR2,PRDM8-AS1,CFAP299,PRDM8,FGF5	coding,nonCoding	protein_coding,lncRNA	N,Y
chr4:80490001-80600000	chr4	80490001	80600000	4q	q21.21			1	CFAP299	coding	protein_coding	Y
chr4:88990001-89300000	chr4	88990001	89300000	4q	q22.1			4	RNU6-907P,GPRIN3,FAM13A,TIGD2	nonCoding,coding	snRNA,protein_coding	N
chr5:100640001-100980000	chr5	100640001	100980000	5q	q21.1	FRA5B, FRA5D, FRA5F	ST8SIA4	3	MIR548P,RN7SKP62,ST8SIA4	nonCoding,coding	miRNA,misc_RNA,protein_coding	N
chr5:102700001-103010000	chr5	102700001	103010000	5q	q21.1	FRA5B, FRA5D, FRA5F		1	PAM	coding,nonCoding	protein_coding	N
chr5:123430001-123670000	chr5	123430001	123670000	5q	q23.2			1	CSNK1G3	coding,nonCoding	protein_coding	N
chr5:131540001-131700000	chr5	131540001	131700000	5q	q31.1	FRA5C		2	FNIP1,RAPGEF6	coding,nonCoding	protein_coding	N
chr5:143200001-143620000	chr5	143200001	143620000	5q	q31.3		ARHGAP26	3	ARHGAP26,NR3C1,RNU7-156P	coding,nonCoding	protein_coding,snRNA	N
chr5:16840001-17010000	chr5	16840001	17010000	5p	p15.1		MYO10	2	MYO10,RNU6-660P	coding,nonCoding	protein_coding,snRNA	N
chr5:174250001-175080000	chr5	174250001	175080000	5q	q35.2	FRA5G		4	LINC01411,MSX2,MIR4634,LINC01951	nonCoding,coding	lncRNA,protein_coding,miRNA	N
chr5:40250001-40540000	chr5	40250001	40540000	5p	p13.1	FRA5A, FRA5E		3	LINC00604,RNU1-150P,TTC33	nonCoding,coding	lncRNA,snRNA,protein_coding	N
chr5:54830001-55040000	chr5	54830001	55040000	5q	q11.2			2	ESM1,GZMK	coding,nonCoding	protein_coding	N
chr5:65970001-66070000	chr5	65970001	66070000	5q	q12.3			1	ERBIN	coding,nonCoding	protein_coding	N
chr5:68260001-68360000	chr5	68260001	68360000	5q	q13.1			1	PIK3R1	nonCoding,coding	protein_coding	N
chr5:75330001-75540000	chr5	75330001	75540000	5q	q13.3		POLK	4	HMGCR,CERT1,POLK,RNU7-175P	coding,nonCoding	protein_coding,snRNA	N
chr5:79270001-79730000	chr5	79270001	79730000	5q	q14.1			4	JMY,HOMER1,CMYA5,TENT2	coding,nonCoding	protein_coding	N
chr5:86960001-87430000	chr5	86960001	87430000	5q	q14.3			9	RN7SKP34,MIR4280,LINC01949,MIR4280HG,RN7SL629P,RNU6-606P,CCNH,RASA1,RNU6-727P	nonCoding,coding	misc_RNA,miRNA,lncRNA,snRNA,protein_coding	N
chr5:94590001-94890000	chr5	94590001	94890000	5q	q15	FRA5B, FRA5D, FRA5F		3	KIAA0825,SLF1,MCTP1	coding,nonCoding	protein_coding	N,Y
chr5:95480001-96020000	chr5	95480001	96020000	5q	q15	FRA5B, FRA5D, FRA5F		10	RNU6-308P,ARSK,GPR150,RFESD,SPATA9,RHOBTB3,GLRX,LINC01554,ELL2,SKIC3	nonCoding,coding	snRNA,protein_coding,lncRNA	N
chr5:96560001-96880000	chr5	96560001	96880000	5q	q15	FRA5B, FRA5D, FRA5F		3	CAST,ERAP1,ERAP2	coding,nonCoding	protein_coding	N
chr6:105260001-105840000	chr6	105260001	105840000	6q	q21	FRA6F		2	PREP,LINC02836	coding,nonCoding	protein_coding,lncRNA	N
chr6:105950001-106050000	chr6	105950001	106050000	6q	q21	FRA6F		2	PRDM1,ATG5	coding,nonCoding	protein_coding	N
chr6:11890001-12220000	chr6	11890001	12220000	6p	p24.1		HIVEP1	1	HIVEP1	coding	protein_coding	N
chr6:127930001-128010000	chr6	127930001	128010000	6q	q22.33			1	PTPRK	coding,nonCoding	protein_coding	Y
chr6:129850001-130080000	chr6	129850001	130080000	6q	q22.33			2	L3MBTL3,TMEM244	coding,nonCoding	protein_coding	N
chr6:135190001-135900000	chr6	135190001	135900000	6q	q23.3		MYB	7	MYB,MYB-AS1,AHI1-DT,LINC02524,MIR548A2,AHI1,PDE7B	coding,nonCoding	protein_coding,lncRNA,miRNA	N
chr6:137180001-137310000	chr6	137180001	137310000	6q	q23.3			1	IFNGR1	coding,nonCoding	protein_coding	N
chr6:137470001-137750000	chr6	137470001	137750000	6q	q23.3			3	OLIG3,LINC03004,LINC02539	coding,nonCoding	protein_coding,lncRNA	N
chr6:143430001-143890000	chr6	143430001	143890000	6q	q24.2			7	FUCA2,PHACTR2,PHACTR2-AS1,ZC2HC1B,PEX3,LTV1,ADAT2	coding,nonCoding	protein_coding,lncRNA	N
chr6:144420001-144900000	chr6	144420001	144900000	6q	q24.2			1	UTRN	coding	protein_coding	Y
chr6:145800001-145970000	chr6	145800001	145970000	6q	q24.3			3	FBXO30,EPM2A-DT,SHPRH	coding,nonCoding	protein_coding,lncRNA	N
chr6:154130001-154230000	chr6	154130001	154230000	6q	q25.2			2	OPRM1,IPCEF1	coding,nonCoding	protein_coding	N
chr6:161420001-162170000	chr6	161420001	162170000	6q	q26	FRA6E		1	PRKN	coding,nonCoding	protein_coding	Y
chr6:162190001-162340000	chr6	162190001	162340000	6q	q26	FRA6E		1	PRKN	coding,nonCoding	protein_coding	Y
chr6:163720001-164230000	chr6	163720001	164230000	6q	q26	FRA6E		1	RN7SL366P	nonCoding	misc_RNA	N
chr6:167980001-168180000	chr6	167980001	168180000	6q	q27			3	KIF25,KIF25-AS1,FRMD1	coding,nonCoding	protein_coding,lncRNA	N
chr6:39660001-39960000	chr6	39660001	39960000	6p	p21.2			4	KIF6,MOCS1,DAAM2,DAAM2-AS1	coding,nonCoding	protein_coding,lncRNA	N
chr6:45460001-45640000	chr6	45460001	45640000	6p	p21.1			2	RUNX2,RUNX2-AS1	coding,nonCoding	protein_coding,lncRNA	N
chr6:47440001-47620000	chr6	47440001	47620000	6p	p12.3			2	CD2AP,CD2AP-DT	coding,nonCoding	protein_coding,lncRNA	N
chr6:79910001-80050000	chr6	79910001	80050000	6q	q14.1			2	ELOVL4,TTK	coding,nonCoding	protein_coding	N
chr6:83050001-83260000	chr6	83050001	83260000	6q	q14.1			5	DOP1A,PGM3,RWDD2A,UBE3D,ME1	coding,nonCoding	protein_coding	N
chr6:85470001-85640000	chr6	85470001	85640000	6q	q14.3		SNX14	3	SYNCRIP,SNX14,NT5E	coding,nonCoding	protein_coding	N
chr6:95540001-95630000	chr6	95540001	95630000	6q	q16.1			2	MANEA,MANEA-DT	coding,nonCoding	protein_coding,lncRNA	N
chr7:105080001-105240000	chr7	105080001	105240000	7q	q22.3	FRA7F		2	SRPK2,KMT2E	coding,nonCoding	protein_coding	N
chr7:10940001-11190000	chr7	10940001	11190000	7p	p21.3			2	NDUFA4,PHF14	coding,nonCoding	protein_coding	N
chr7:116810001-117160000	chr7	116810001	117160000	7q	q31.2	FRA7G		6	ST7-AS1,ST7-AS2,ST7,ST7-OT4,MIR6132,CAPZA2	nonCoding,coding	lncRNA,protein_coding,miRNA	N
chr7:12110001-12290000	chr7	12110001	12290000	7p	p21.3			1	TMEM106B	coding,nonCoding	protein_coding	N
chr7:131220001-131440000	chr7	131220001	131440000	7q	q32.3	FRA7H		2	MKLN1,MKLN1-AS	coding,nonCoding	protein_coding,lncRNA	N
chr7:157930001-158210000	chr7	157930001	158210000	7q	q36.3	FRA7I		1	PTPRN2	coding	protein_coding	Y
chr7:34030001-34150000	chr7	34030001	34150000	7p	p14.3			1	BMPER	coding,nonCoding	protein_coding	N
chr7:36250001-36460000	chr7	36250001	36460000	7p	p14.2	FRA7C		3	MATCAP2,ANLN,EEPD1	coding,nonCoding	protein_coding	N
chr7:36570001-36740000	chr7	36570001	36740000	7p	p14.2	FRA7C		2	AOAH,AOAH-IT1	coding,nonCoding	protein_coding,lncRNA	N
chr7:3970001-4510000	chr7	3970001	4510000	7p	p22.2	FRA7B		1	SDK1	coding,nonCoding	protein_coding	Y
chr7:7210001-7370000	chr7	7210001	7370000	7p	p21.3			3	C1GALT1,LINC03016,COL28A1	coding,nonCoding	protein_coding,lncRNA	N
chr7:7710001-8150000	chr7	7710001	8150000	7p	p21.3		GLCCI1	6	UMAD1,RNU6-534P,ICA1,RPA3,GLCCI1-DT,GLCCI1	coding,nonCoding	protein_coding,snRNA,lncRNA	N
chr7:87770001-87810000	chr7	87770001	87810000	7q	q21.12			1	RUNDC3B	coding,nonCoding	protein_coding	N
chr7:92000001-92470000	chr7	92000001	92470000	7q	q21.2	FRA7E		9	LRRD1,KRIT1,AKAP9,CYP51A1,CYP51A1-AS1,GATAD1,ERVW-1,MIR1285-1,ANKIB1	coding,nonCoding	protein_coding,lncRNA,miRNA	N
chr7:92520001-92920000	chr7	92520001	92920000	7q	q21.2	FRA7E		6	FAM133B,CDK6,PEX1,RBM48,RNU6-10P,CDK6-AS1	coding,nonCoding	protein_coding,snRNA,lncRNA	N
chr7:98340001-98830000	chr7	98340001	98830000	7q	q21.3	FRA7F		3	NPTX2,RNU6-393P,BAIAP2L1	coding,nonCoding	protein_coding,snRNA	N
chr8:100180001-100280000	chr8	100180001	100280000	8q	q22.2			2	SPAG1,RNF19A	coding,nonCoding	protein_coding	N
chr8:1170001-1360000	chr8	1170001	1360000	8p	p23.3			1	DLGAP2	coding,nonCoding	protein_coding	Y
chr8:124940001-125220000	chr8	124940001	125220000	8q	q24.13	FRA8C, FRA8E	SQLE	7	LINC00964,ZNF572,SQLE-DT,WASHC5,WASHC5-AS1,NSMCE2,SQLE	nonCoding,coding	lncRNA,protein_coding	N
chr8:125710001-126150000	chr8	125710001	126150000	8q	q24.13	FRA8C, FRA8E		3	LINC00861,RNU6-442P,LINC02964	nonCoding	lncRNA,snRNA	N
chr8:131850001-132010000	chr8	131850001	132010000	8q	q24.22			1	EFR3A	coding,nonCoding	protein_coding	N
chr8:138610001-138700000	chr8	138610001	138700000	8q	q24.23			1	COL22A1	coding	protein_coding	N
chr8:138710001-139310000	chr8	138710001	139310000	8q	q24.23	FRA8D		1	COL22A1	coding	protein_coding	N
chr8:141900001-142260000	chr8	141900001	142260000	8q	q24.3	FRA8D		4	LINC00051,TSNARE1,RN7SL260P,MIR4472-1	nonCoding,coding	lncRNA,protein_coding,misc_RNA,miRNA	N
chr8:28870001-29040000	chr8	28870001	29040000	8p	p21.1			3	INTS9,HMBOX1,HMBOX1-IT1	coding,nonCoding	protein_coding,lncRNA	N
chr8:58470001-58900000	chr8	58470001	58900000	8q	q12.1			5	NSMAF,TOX,SDCBP,CYP7A1,RNU4-50P	coding,nonCoding	protein_coding,snRNA	N
chr8:59030001-59170000	chr8	59030001	59170000	8q	q12.1			2	TOX,TOX-DT	coding,nonCoding	protein_coding,lncRNA	N
chr8:70290001-70710000	chr8	70290001	70710000	8q	q13.3			9	NCOA2,RNY3P14,XKR9,TRAM1,LACTB2-AS1,LINC03020,RN7SL203P,LACTB2,RN7SL19P	coding,nonCoding	protein_coding,misc_RNA,lncRNA	N
chr8:95020001-95160000	chr8	95020001	95160000	8q	q22.1	FRA8B	PLEKHF2	6	NDUFAF6,RNU6-1209P,MIR3150A,PLEKHF2,MIR3150BHG,MIR3150B	coding,nonCoding	protein_coding,snRNA,miRNA,lncRNA	N
chr9:117370001-117990000	chr9	117370001	117990000	9q	q33.1			3	RNU6-1082P,ASTN2,TLR4	nonCoding,coding	snRNA,protein_coding	N,Y
chr9:1230001-1450000	chr9	1230001	1450000	9p	p24.3			1				
chr9:134680001-135330000	chr9	134680001	135330000	9q	q34.3			11	MIR3689C,COL5A1,MIR3689D2,MIR3689A,MIR3689D1,MIR3689B,FCN1,MIR3689E,MIR3689F,FCN2,OLFM1	nonCoding,coding	miRNA,protein_coding	N
chr9:71600001-72000000	chr9	71600001	72000000	9q	q21.13			3	CEMIP2,ABHD17B,C9orf85	coding,nonCoding	protein_coding	N
chr9:85610001-85730000	chr9	85610001	85730000	9q	q21.33			1	AGTPBP1	coding	protein_coding	N
chr9:92290001-92410000	chr9	92290001	92410000	9q	q22.31			6	IARS1,MIR3651,NOL8,CENPP,OGN,SNORA84	coding,nonCoding	protein_coding,miRNA,snoRNA	N
